Rank	Uinversity	Country	Citations
1684	Universidad Autónoma del Estado de Hidalgo	MEXICO	9907
1685	Shri Mata Vaishno Devi University	INDIA	9901
1686	Universidad de Valparaíso	CHILE	9897
1687	Shanghai University of Finance & Economics / 上海财经大学	CHINA	9894
1687	Visva Bharati University	INDIA	9894
1689	University of West Bohemia (Vysoká Škola v Plzni) / Západočeská Univerzita v Plzni	CEZCH REPUBLIC	9867
1690	École des Mines de Nantes	FRANCE	9838
1691	Colby College	USA	9835
1692	Sodertorns University College / Södertörns högskola	SWEDEN	9829
1693	University of Winchester	UNITED KINGDOM	9819
1694	Universidade Guarulhos UNG	BRAZIL	9815
1695	Conservatoire National des Arts et Métiers	FRANCE	9811
1696	Fujian Normal University / 福建师范大学	CHINA	9802
1697	Kansai University / 関西大学	JAPAN	9767
1698	Saratov State University / Саратовский государственный университет	RUSSIA	9766
1699	Cumhuriyet University	TURKEY	9755
1700	Ibaraki University / 茨城大学	JAPAN	9754
1701	Pakistan Institute of Engineering & Applied Sciences Islamabad	PAKISTAN	9740
1702	Tuskegee University	USA	9734
1703	Gülhane Military Medical Academy / Gülhane Askeri Tıp Akademisi	TURKEY	9733
1704	S R M University (Institute of Science & Technology)	INDIA	9718
1705	Birla Institute of Technology & Science Pilani	INDIA	9708
1706	University of Derby	UNITED KINGDOM	9701
1707	Ondokuz Mayýs University	TURKEY	9699
1708	Universidad Michoacana de San Nicolás de Hidalgo	MEXICO	9689
1709	Universidad Nacional de Tucumán	ARGENTINA	9684
1710	Gettysburg College	USA	9678
1711	Universiti Tenaga Nasional	MALAYSIA	9660
1712	Nanjing University / 南京工业大学	CHINA	9623
1713	Open University of Israel	ISRAEL	9605
1714	Fourth Military Medical University / 第四军医大学	CHINA	9601
1715	Technical University of Košice / Technická univerzita v Košiciach	SLOVAKIA	9560
1716	Saitama University / 埼玉大学	JAPAN	9550
1717	London Metropolitan University	UNITED KINGDOM	9489
1718	Benha University	EGYPT	9472
1719	Gaziantep University	TURKEY	9461
1720	University of Illinois Springfield	USA	9453
1721	Centro Agronómico Tropical de Investigación y Enseñanza	COSTA RICA	9445
1722	Universidad Fundación San Pablo CEU	SPAIN	9426
1723	West University of Timisoara	ROMANIA	9420
1724	Ngee Ann Polytechnic	SINGAPORE	9418
1725	University College of Boras / Högskolan i Borås	SWEDEN	9396
1726	University of Peloponnese	GREECE	9375
1726	Vidyasagar University	INDIA	9375
1726	Naresuan University	THAILAND	9375
1729	International and European Business School Lyon	FRANCE	9364
1730	Glyndŵr University	UNITED KINGDOM	9359
1731	Bates College	USA	9353
1732	Mersin University	TURKEY	9350
1733	Indian Institute of Science Education and Research, Mohali	INDIA	9347
1734	Najran University	SAUDI ARABIA	9344
1735	Toyohashi University of Technology / 豊橋科学技術大学	JAPAN	9336
1736	Universidad del Rosario	COLOMBIA	9335
1737	Western Carolina University	USA	9311
1738	Kean University	USA	9280
1739	Universidade Estadual do Ceará	BRAZIL	9262
1740	Hellenic Open University	GREECE	9231
1741	Universidad Veracruzana	MEXICO	9210
1742	Northern Kentucky University	USA	9205
1743	Başkent University	TURKEY	9204
1744	International Medical University	MALAYSIA	9200
1745	Shiv Nadar University	INDIA	9189
1746	Universidad Autónoma de Yucatán	MEXICO	9164
1747	University of Guilan	IRAN	9146
1748	University of Allahabad	INDIA	9139
1749	Nelson Mandela Metropolitan University	SOUTH AFRICA	9108
1750	University of Nova Gorica / Univerza v Novi Gorici	SLOVENIA	9101
1751	ITMO University / Университет ИТМО	RUSSIA	9080
1752	Universidade Federal de Sergipe UFS	BRAZIL	9067
1753	Damietta University	EGYPT	9045
1754	Indian School of Business Hyderabad	INDIA	9030
1755	Ming Chi University of Technology	TAIWAN	9023
1756	Saint Mary's University San Antonio Texas	USA	9016
1757	Hosei University / 法政大学	JAPAN	9015
1758	Universidad Nacional del Sur	ARGENTINA	9001
1759	Fatih University / Fatih Üniversitesi	TURKEY	8999
1760	Yamaguchi University / 山口大学	JAPAN	8995
1761	National Ilan University	TAIWAN	8938
1762	Zagazig University	EGYPT	8935
1762	University of New Haven	USA	8935
1764	Groupe Esiee Paris École Supérieure d'Ingénieurs	FRANCE	8917
1765	Hasso Plattner Institute	GERMANY	8916
1766	Lebanese American University	LEBANON	8838
1767	Universidad de La Rioja	SPAIN	8792
1768	Annamalai University	INDIA	8789
1769	Sardar Vallabhbhai National Institute of Technology Surat	INDIA	8776
1770	Fukuoka University / 福岡大学	JAPAN	8764
1771	Indian Institute of Technology Indore	INDIA	8759
1772	University of Karachi	PAKISTAN	8740
1773	Cardiff Metropolitan University (University of Wales Institute Cardiff)	UNITED KINGDOM	8739
1774	University of Notre Dame Australia	AUSTRALIA	8723
1775	Fujita Health University / 藤田保健衛生大学	JAPAN	8718
1776	Universidad de Deusto Deustuko Unibertsitatea	SPAIN	8703
1777	University of Northern Colorado	USA	8696
1778	Universidad de la Serena	CHILE	8695
1779	Umm Al Qura University	SAUDI ARABIA	8687
1780	Instituto Tecnológico Autónomo de México	MEXICO	8682
1781	Oslo and Akershus University College of Applied Sciences / Høgskolen i Oslo og Akershus	NORWAY	8680
1782	Islamic University Kushtia	BANGLADESH	8667
1782	Kharazmi University (Tarbiat Moallem University Tehran)	IRAN	8667
1784	High Point University	USA	8660
1785	Sonoma State University	USA	8648
1786	Kansas City University of Medicine and Biosciences	USA	8626
1787	Corvinus University of Budapest / Budapesti Corvinus Egyetem BCE	HUNGARY	8624
1788	California State University Los Angeles	USA	8600
1789	Iran Polymer and Petrochemical Institute	IRAN	8599
1790	University of Niš / Универзитет у Нишу / Univezitet u Nišu	SERBIA	8598
1791	Khon Kaen University	THAILAND	8592
1792	Hanbat National University / 한밭대학교	SOUTH KOREA	8588
1793	University of Wisconsin Stevens Point	USA	8586
1794	University of Isfahan	IRAN	8575
1795	Szent István University / Szent István Egyetem SZIE	HUNGARY	8538
1796	İstanbul MEF Üniversitesi	TURKEY	8534
1797	Dicle University	TURKEY	8511
1798	Gaziosmanpaşa University	TURKEY	8506
1799	Chung Yuan Christian University	TAIWAN	8503
1800	Universidade Católica de Brasilia	BRAZIL	8479
1801	Bu Ali Sina University Hamedan	IRAN	8461
1801	Soka University / 創価大学	JAPAN	8461
1803	Technical University of Ostrava / Vysoká Škola Báňská Technická Univerzita Ostrava	CEZCH REPUBLIC	8427
1804	Shahid Bahonar University of Kerman	IRAN	8424
1805	Instituto Politécnico de Bragança	PORTUGAL	8413
1806	Università di Corsica Pasquale Paoli / Université de Corse Pascal Paoli	FRANCE	8412
1807	Cooper Union for the Advancement of Science and Art	USA	8401
1808	Université de Haute Alsace Mulhouse	FRANCE	8378
1809	Anhui University / 安徽大学	CHINA	8371
1810	Saint Michael's College	USA	8359
1811	University of Medicine and Pharmacy Iuliu Hatieganu Cluj Napoca	ROMANIA	8340
1812	University of Evansville	USA	8332
1813	Tokai University / 東海大学	JAPAN	8311
1814	Saint Joseph's University	USA	8302
1815	Namik Kemal University	TURKEY	8283
1816	University of Central Arkansas	USA	8248
1817	University of Khartoum	SUDAN	8241
1818	Delhi Technological University (Delhi College of Engineering)	INDIA	8229
1819	Osmania University Hyderabad	INDIA	8218
1820	Saga University / 佐賀大学	JAPAN	8215
1821	Indian Institute of Technology Bhubaneswar	INDIA	8209
1822	Université de Sfax	TUNISIA	8202
1823	Menzies School of Health Research	AUSTRALIA	8201
1824	Université du Québec Chicoutimi	CANADA	8172
1825	Bergen University College / Høgskolen i Bergen	NORWAY	8170
1826	Shanghai Normal University / 上海师范大学	CHINA	8147
1827	Universitat Oberta de Catalunya	SPAIN	8146
1828	Pontificia Universidade Católica do Campinas PUC-CAMPINAS	BRAZIL	8140
1829	Sastra University	INDIA	8139
1830	AgroCampus Ouest (Rennes+Angers)	FRANCE	8134
1831	Abdullah Gül University Kayseri	TURKEY	8122
1832	China University of Petroleum Beijing / 中国石油大学(北京)	CHINA	8119
1833	ESADE Business School Barcelona	SPAIN	8109
1834	Warsaw University of Life Sciences (Agricultural University) / Szkoła Główna Gospodarstwa Wiejskiego w Warszawie	POLAND	8076
1835	Trakya University	TURKEY	8069
1836	École Nationale Vétérinaire de Toulouse	FRANCE	8062
1836	Ural Federal University / Уральский федеральный университет	RUSSIA	8062
1838	University of Mauritius	MAURITIUS	8058
1839	Universidade do Vale do Paraíba UNIVAP	BRAZIL	8051
1840	Gdansk University / Uniwersytet Gdański	POLAND	8024
1841	Birla Institute of Technology Mesra Ranchi	INDIA	8007
1842	Montanuniversität Leoben / University of Leoben	AUSTRIA	7981
1843	Indian Institute of Technology Gandhinagar	INDIA	7980
1844	Royal Roads University	CANADA	7974
1845	Western Illinois University	USA	7941
1846	Gjovik University College / Høgskolen i Gjøvik	NORWAY	7921
1846	Prince of Songkla University	THAILAND	7921
1846	Yüzüncü Yil University	TURKEY	7921
1849	Western University of Health Sciences	USA	7919
1850	Walden University (National Technological University)	USA	7913
1851	King Khalid University	SAUDI ARABIA	7910
1852	China University of Mining & Technology / 中国矿业大学	CHINA	7909
1853	University of Buckingham	UNITED KINGDOM	7898
1854	Iran University of Medical Sciences	IRAN	7884
1855	Universidade da Madeira	PORTUGAL	7878
1856	Thompson Rivers University	CANADA	7873
1857	Poznan University of Economics / Uniwersytet Ekonomiczny w Poznaniu	POLAND	7847
1858	Indiana University/Purdue University Fort Wayne	USA	7845
1859	Radford University	USA	7826
1860	Teerthanker Mahaveer University Moradabad	INDIA	7820
1860	Mills College	USA	7820
1862	Razi University Kermanshah	IRAN	7779
1863	Yaşar University	TURKEY	7774
1864	Trinity College	USA	7762
1865	Slovak University of Technology in Bratislava / Slovenská technická univerzita v Bratislave	SLOVAKIA	7761
1866	Ochanomizu University / お茶の水女子大学	JAPAN	7745
1867	Universidade Federal do Maranhão	BRAZIL	7732
1868	Universidade Federal de Alfenas UNIFAL-MG	BRAZIL	7729
1869	Tennessee State University	USA	7700
1870	National United University	TAIWAN	7682
1871	Ionian University	GREECE	7663
1872	Norfolk State University	USA	7661
1873	University of Hartford	USA	7659
1874	Universidad de la Frontera	CHILE	7658
1875	University of Economics Prague / Vysoká Škola Ekonomická v Praze	CEZCH REPUBLIC	7654
1876	Institut Teknologi Brunei	BRUNEI	7629
1877	Moscow Institute of Physics and Technology / Московский физико-технический институт государственный университет	RUSSIA	7610
1878	National Institute of Technology Calicut	INDIA	7604
1879	Indian Institute of Science Education and Research Thiruvananthapuram	INDIA	7573
1880	Universitas Diponegoro	INDONESIA	7572
1881	Université du Littoral Côte d'Opale	FRANCE	7566
1882	Bahauddin Zakariya University	PAKISTAN	7562
1883	Whitman College	USA	7511
1884	Maharaja Sayajirao University of Baroda	INDIA	7510
1885	Université des Antilles et de la Guyane	FRANCE	7484
1886	École Nationale Supérieure de l'Electronique et de ses Applications	FRANCE	7479
1887	Indian Institute of Technology Patna	INDIA	7454
1888	Islamic Azad University Tehran Science & Research Branch	IRAN	7438
1888	Kitasato University / 北里大学	JAPAN	7438
1890	Universidad Nacional de Quilmes	ARGENTINA	7432
1891	Indiana University of Pennsylvania	USA	7416
1892	Kyoto Sangyo University / 京都産業大学	JAPAN	7408
1893	Rider University	USA	7402
1894	École des Mines Albi Carmaux	FRANCE	7400
1895	University of the Punjab	PAKISTAN	7373
1896	Indian Institute of Science Education and Research Bhopal	INDIA	7369
1897	Northern Michigan University	USA	7361
1898	Changwon National University / 창원대학교	SOUTH KOREA	7351
1899	Universidade Federal de Itajubá UNIFEI	BRAZIL	7346
1900	Universidade Federal Rural de Pernambuco UFRPE	BRAZIL	7339
1901	Eastern Illinois University	USA	7338
1902	Colegio de México	MEXICO	7325
1903	North Eastern Hill University	INDIA	7324
1904	Université de Technologie Belfort Montbéliard	FRANCE	7315
1905	Universiti Malaysia Terengganu	MALAYSIA	7304
1906	An Najah National University	PALESTINE	7302
1907	Bloomsburg University of Pennsylvania	USA	7301
1908	Texas A&M International University	USA	7289
1909	Kunsan National University / 군산대학교	SOUTH KOREA	7286
1910	Birzeit University	PALESTINE	7283
1911	Nagoya City University / 名古屋市立大学	JAPAN	7255
1912	Novosibirsk State University / Новосибирский государственный университет	RUSSIA	7248
1913	Universidad del Valle de Guatemala	GUATEMALA	7241
1914	Urmia University	IRAN	7240
1915	Taipei Medical University	TAIWAN	7237
1916	Indiana State University	USA	7232
1917	Lucknow University	INDIA	7222
1918	Universidad Autónoma de Tamaulipas	MEXICO	7219
1919	Huaqiao University / 华侨大学	CHINA	7192
1920	Pontificia Universidad Católica de Valparaíso	CHILE	7189
1921	Kedge Business School (ESC Technologie Toulon + Euromed)	FRANCE	7178
1922	Nanjing University of Technology / 南京工业大学	CHINA	7172
1923	Indian Institute of Technology Mandi	INDIA	7147
1924	Occidental College	USA	7145
1925	University of Mazandaran Babolsar	IRAN	7118
1926	North China Electric Power University / 华北电力大学	CHINA	7112
1927	Zurcher Hochschule für Angewandte Wissenschaften	SWITZERLAND	7107
1928	Kermanshah University of Medical Sciences	IRAN	7082
1929	Technological Education Institute of Athens	GREECE	7072
1930	Universidad de Antofagasta	CHILE	7054
1931	University of Saint Francis Fort Wayne Indiana	USA	7048
1932	Canterbury Christ Church University	UNITED KINGDOM	7042
1933	Indian Institute of Management Ahmedabad	INDIA	7034
1934	Malaviya National Institute of Technology	INDIA	7022
1935	Netaji Subhas Institute of Technology	INDIA	7001
1936	Mustafa Kemal University	TURKEY	6995
1937	Widener University	USA	6993
1938	Staffordshire University	UNITED KINGDOM	6983
1939	University of Puget Sound	USA	6980
1940	Ahvaz Jundishapur University of Medical Sciences	IRAN	6971
1941	Yıldırım Beyazıt University	TURKEY	6958
1942	Butler University	USA	6956
1943	Chuo University / 中央大学	JAPAN	6954
1944	Université du Droit et de la Santé Lille 2	FRANCE	6924
1945	Eastern Virginia Medical School	USA	6913
1946	Kaunas University of Technology / Kauno technologijos universitetas	LITHUANIA	6908
1947	Universidade Federal do Estado do Rio de Janeiro UNIRIO	BRAZIL	6904
1948	University of Kragujevac / Универзитет у Крагујевцу / Univerzitet u Kragujevcu	SERBIA	6899
1948	Izmir Katip Celebi University / İzmir Kâtip Çelebi Üniversitesi	TURKEY	6899
1950	Antioch University	USA	6890
1951	Central University of Rajasthan	INDIA	6859
1952	University of Detroit Mercy	USA	6846
1953	Hamilton College	USA	6842
1954	Hashemite University	JORDAN	6836
1955	Texas Southern University	USA	6835
1956	Catholic University of Korea / 가톨릭대학교	SOUTH KOREA	6834
1957	Universidade Estadual do Oeste do Paraná UNIOSTE	BRAZIL	6831
1958	Ss Cyril and Methodius University Skopje	MACEDONIA FYR	6822
1959	Texas A&M University Kingsville	USA	6820
1960	Chiang Mai University	THAILAND	6816
1961	Shippensburg University of Pennsylvania	USA	6815
1962	European University Cyprus	CYPRUS	6809
1963	Institut Polytechnique Lasalle Beauvais	FRANCE	6803
1964	Indian School of Mines Dhanbad	INDIA	6795
1965	La Salle University	USA	6788
1966	Universitas Islam Negeri Syarif Hidayatullah Jakarta	INDONESIA	6781
1967	Stetson University	USA	6765
1968	Düzce University	TURKEY	6760
1969	Kwame Nkrumah University of Science & Technology	GHANA	6747
1970	University Goce Delcev Stip	MACEDONIA FYR	6735
1970	Warsaw School of Economics / Szkoła Główna Handlowa w Warszawie	POLAND	6735
1972	Centro Universitário da Fundação Educacional Inaciana	BRAZIL	6714
1973	State University of New York at New Paltz	USA	6705
1974	Universidad de Cartagena	COLOMBIA	6697
1974	Sokoine University of Agriculture	TANZANIA	6697
1976	Centro de Investigación en Matemáticas	MEXICO	6695
1976	Ohio Northern University	USA	6695
1976	Youngstown State University	USA	6695
1979	Manhattan College	USA	6670
1980	Kahramanmaras Sutcu Imam University	TURKEY	6669
1981	University of Development Alternative	BANGLADESH	6668
1982	Quinnipiac University	USA	6667
1983	Tottori University / 鳥取大学	JAPAN	6660
1984	California State University San Marcos	USA	6653
1985	University of Ghana	GHANA	6652
1986	American University of Ras al Khaimah AURAK	ARAB EMIRATES	6649
1986	Shantou (Swatow) University / 汕头大学 (汕頭大學)	CHINA	6649
1988	Waterford Institute of Technology	IRELAND	6642
1988	Mevlana University	TURKEY	6642
1990	Grinnell College	USA	6637
1991	German University in Cairo	EGYPT	6636
1992	Eastern Kentucky University	USA	6620
1993	Eckerd College	USA	6618
1994	Afyon Kocatepe University	TURKEY	6616
1995	Babasaheb Bhimrao Ambedkar University Lucknow	INDIA	6600
1996	Lingnan University	HONG KONG	6598
1997	Abdul Wali Khan University Mardan	PAKISTAN	6583
1998	Taibah University	SAUDI ARABIA	6579
1999	National Institute of Technology Warangal	INDIA	6578
2000	Universidad de Talca	CHILE	6574
2001	Universidad del Norte Barranquilla	COLOMBIA	6554
2002	California State University Monterey Bay	USA	6553
2003	Nanjing University of Posts & Telecommunications / 南京邮电大学	CHINA	6533
2004	Indiana University Northwest	USA	6531
2005	College at Brockport SUNY	USA	6526
2006	Universidade do Vale do Rio dos Sinos UNISINOS	BRAZIL	6521
2007	Fukushima University / 福島大学	JAPAN	6513
2008	State University of New York at Oswego	USA	6507
2009	Instituto de Empresa Business School	SPAIN	6497
2010	Université Paris 8 Vincennes St Denis	FRANCE	6476
2011	Norwegian University for Sport and Physical Education / Norges Idrettshøgskole	NORWAY	6473
2012	Juniata College	USA	6470
2012	University of Wisconsin la Crosse	USA	6470
2014	University of Warmia and Mazury / Uniwersytet Warmińsko-Mazurski w Olsztynie (Akademia Rolniczo-Techniczna w Olsztynie)	POLAND	6462
2015	Mae Fah Luang University	THAILAND	6461
2016	Yerevan State University	ARMENIA	6451
2017	Shibaura Institute of Technology / 芝浦工業大学	JAPAN	6429
2018	Alba Graduate Business School	GREECE	6425
2019	Universidad Nacional de San Luis	ARGENTINA	6416
2020	Hawaii Pacific University	USA	6407
2021	Universidade do Mogi Das Cruzes UMC	BRAZIL	6394
2022	Universidad del Desarrollo	CHILE	6366
2023	Alagappa University	INDIA	6359
2024	University of Tampa	USA	6336
2025	Universidad Nacional del Comahue	ARGENTINA	6321
2026	Government College University Faisalabad	PAKISTAN	6314
2027	Universidade de Fortaleza UNIFOR	BRAZIL	6303
2028	Devi Ahilya Vishwavidyalaya Indore	INDIA	6261
2028	Arak University	IRAN	6261
2030	Universität Hildesheim	GERMANY	6251
2031	Université Abou Bekr Belkaid Tlemcen	ALGERIA	6247
2032	Grande École d'ingénieurs de Techniques Avancées Groupe ENSTA	FRANCE	6246
2033	Shaanxi Normal University / 陕西师范大学	CHINA	6245
2034	University of Craiova	ROMANIA	6244
2035	Merrimack College	USA	6229
2036	Grant MacEwan College	CANADA	6218
2037	Universiti Teknikal Malaysia Melaka	MALAYSIA	6205
2038	California State University Chico	USA	6202
2039	PRES Université de Toulouse	FRANCE	6191
2039	Ahmedabad University	INDIA	6191
2041	Universidade Cidade de São Paulo UNICID	BRAZIL	6185
2042	Hitotsubashi University / 一橋大学	JAPAN	6182
2043	Universidade do Sul de Santa Catarina UNISUL	BRAZIL	6169
2044	Kristianstad University College / Högskolan Kristianstad	SWEDEN	6168
2045	Diyala University	IRAQ	6159
2046	Université du Québec Abitibi-Temiscamingue	CANADA	6139
2047	National University of Sciences & Technology	PAKISTAN	6123
2047	University of Bridgeport	USA	6123
2049	Universidade Federal de São João del Rei UFSJ	BRAZIL	6120
2050	Berry College	USA	6111
2051	University Babes Bolyai	ROMANIA	6102
2052	Universidade de Caxias do Sul	BRAZIL	6101
2053	Wenzhou University / 温州大学	CHINA	6094
2054	Hanoi University of Science & Technology	VIETNAM	6090
2055	Medical University of Silesia in Katowice / Śląski Uniwersytet Medyczny w Katowicach	POLAND	6085
2056	Universidad de las Américas Puebla	MEXICO	6083
2057	Ternopil National Economy University	UKRAINE	6065
2058	Universidad de la Habana	CUBA	6054
2059	Mount Saint Vincent University	CANADA	6052
2060	Universidade Federal dos Vales do Jequitinhonha e Mucuri UFVJM	BRAZIL	6037
2061	Vel Tech Dr RR & Dr SR Technical University	INDIA	6029
2062	University of Taipei (Taipei Municipal University of Education)	TAIWAN	6022
2063	Çankaya University	TURKEY	5995
2064	Université Lumiere Lyon 2	FRANCE	5990
2065	Pontificia Universidade Católica do Minas Gerais PUC-MINAS	BRAZIL	5981
2066	University of Kalyani	INDIA	5971
2067	Kwansei Gakuin University / 関西学院大学	JAPAN	5969
2067	Liverpool Hope University	UNITED KINGDOM	5969
2069	Brawijaya University	INDONESIA	5966
2070	California State University Bakersfield	USA	5944
2071	University of Cumbria	UNITED KINGDOM	5935
2072	University of Miskolc / Miskolci Egyetem ME	HUNGARY	5925
2073	Université de Evry Val d'Essonne	FRANCE	5923
2074	King Faisal University	SAUDI ARABIA	5901
2075	University of Nicosia	CYPRUS	5900
2076	Universidad Autónoma del Estado de México	MEXICO	5876
2077	Shahed University	IRAN	5866
2078	Atilim University	TURKEY	5861
2079	Skidmore College	USA	5860
2080	Universidade Estadual de Santa Cruz UESC	BRAZIL	5857
2081	Université du Havre	FRANCE	5849
2082	Buffalo State SUNY	USA	5843
2083	Military Academy of Technology in Warsaw / Wojskowa Akademia Techniczna Jarosława Dąbrowskiego w Warszawie	POLAND	5833
2084	Universidad de Sonora	MEXICO	5821
2085	Sri Sivasubramaniya Nadar College of Engineering	INDIA	5814
2086	Advanced Centre for Treatment, Research & Education in Cancer	INDIA	5811
2087	University at Bialystok / Uniwersytet w Białymstoku	POLAND	5800
2088	Southern Utah University	USA	5787
2089	Clark Atlanta University	USA	5780
2090	Allegheny College	USA	5773
2091	Universidad Nacional de Rosario	ARGENTINA	5772
2092	Metropolitan State College of Denver	USA	5768
2093	École Nationale des Travaux Publics de l'Etat	FRANCE	5760
2094	Tallinn University / Tallinna Ülikool	ESTONIA	5755
2095	Universidad Diego Portales	CHILE	5744
2096	Guru Nanak Dev University	INDIA	5743
2097	Universidade de Passo Fundo	BRAZIL	5725
2098	Universiti Tun Hussein Onn Malaysia	MALAYSIA	5722
2099	Universidad Católica del Norte	CHILE	5720
2100	Taylor's University	MALAYSIA	5685
2101	Kochi University of Technology / 高知工科大学	JAPAN	5681
2102	Cape Peninsula University of Technology	SOUTH AFRICA	5678
2103	Minnesota State University Mankato	USA	5677
2104	University of the Sciences in Philadelphia	USA	5674
2105	Charotar University of Science & Technology	INDIA	5665
2106	Dhirubai Ambani Institute of Information and Communication Technology	INDIA	5662
